location,activity,date,change,value,source,roll
Greater London,Retail & recreation,17/06/2020,-63,37,Google,57.14285714
Greater London,Grocery & pharmacy,17/06/2020,-20,80,Google,64
Greater London,Retail & recreation,18/06/2020,-63,37,Google,58.28571429
Greater London,Grocery & pharmacy,18/06/2020,-19,81,Google,63.42857143
Greater London,Retail & recreation,19/06/2020,-62,38,Google,56.85714286
Greater London,Grocery & pharmacy,19/06/2020,-14,86,Google,63.28571429
Greater London,Retail & recreation,20/06/2020,-63,37,Google,56.57142857
Greater London,Grocery & pharmacy,20/06/2020,-15,85,Google,63.42857143
Greater London,Retail & recreation,21/06/2020,-63,37,Google,57.28571429
Greater London,Grocery & pharmacy,21/06/2020,-22,78,Google,63.14285714
Greater London,Retail & recreation,22/06/2020,-54,46,Google,58.14285714
Greater London,Grocery & pharmacy,22/06/2020,-13,87,Google,65.14285714
Greater London,Retail & recreation,23/06/2020,-58,42,Google,58.85714286
Greater London,Grocery & pharmacy,23/06/2020,-13,87,Google,66
Greater London,Retail & recreation,24/06/2020,-60,40,Google,59.57142857
Greater London,Grocery & pharmacy,24/06/2020,-12,88,Google,66.85714286
Greater London,Retail & recreation,25/06/2020,-60,40,Google,61.42857143
Greater London,Grocery & pharmacy,25/06/2020,-11,89,Google,67.57142857
Greater London,Retail & recreation,26/06/2020,-61,39,Google,60.71428571
Greater London,Grocery & pharmacy,26/06/2020,-11,89,Google,67.42857143
Greater London,Retail & recreation,27/06/2020,-65,35,Google,60
Greater London,Grocery & pharmacy,27/06/2020,-18,82,Google,66
Greater London,Retail & recreation,28/06/2020,-62,38,Google,58.85714286
Greater London,Grocery & pharmacy,28/06/2020,-23,77,Google,
Greater London,Retail & recreation,29/06/2020,-55,45,Google,57.85714286
Greater London,Grocery & pharmacy,29/06/2020,-15,85,Google,64.42857143
Greater London,Retail & recreation,30/06/2020,-58,42,Google,57.71428571
Greater London,Grocery & pharmacy,30/06/2020,-18,82,Google,64.42857143
Greater London,Retail & recreation,01/07/2020,-58,42,Google,58.71428571
Greater London,Grocery & pharmacy,01/07/2020,,83,Google,65.14285714
Greater London,Retail & recreation,02/07/2020,-58,42,Google,60.14285714
Greater London,Grocery & pharmacy,02/07/2020,-17,83,Google,65.57142857
Greater London,Retail & recreation,03/07/2020,-58,42,Google,59.42857143
Greater London,Grocery & pharmacy,03/07/2020,-13,87,Google,65.85714286
Greater London,Retail & recreation,04/07/2020,-57,43,Google,60.28571429
Greater London,Grocery & pharmacy,04/07/2020,-19,81,Google,65.85714286
Greater London,Retail & recreation,05/07/2020,-52,48,Google,60.85714286
Greater London,Grocery & pharmacy,05/07/2020,-20,80,Google,66.28571429
Greater London,Retail & recreation,06/07/2020,-48,52,Google,61.85714286
Greater London,Grocery & pharmacy,06/07/2020,-15,85,Google,68
Greater London,Retail & recreation,07/07/2020,-52,48,Google,62.42857143
Greater London,Grocery & pharmacy,07/07/2020,-18,82,Google,68
Greater London,Retail & recreation,08/07/2020,-55,45,Google,62.85714286
Greater London,Grocery & pharmacy,08/07/2020,-20,80,Google,67.42857143
Greater London,Retail & recreation,09/07/2020,-54,46,Google,62.57142857
Greater London,Grocery & pharmacy,09/07/2020,-18,82,Google,66.85714286
Greater London,Retail & recreation,10/07/2020,-52,48,Google,61.57142857
Greater London,Grocery & pharmacy,10/07/2020,-14,86,Google,67
Greater London,Retail & recreation,11/07/2020,-54,46,Google,61.85714286
Greater London,Grocery & pharmacy,11/07/2020,-18,82,Google,67.14285714
Greater London,Retail & recreation,12/07/2020,-51,49,Google,62.71428571
Greater London,Grocery & pharmacy,12/07/2020,-20,80,Google,67.57142857
Greater London,Retail & recreation,13/07/2020,-47,53,Google,63.42857143
Greater London,Grocery & pharmacy,13/07/2020,-15,85,Google,68.71428571
Greater London,Retail & recreation,14/07/2020,-49,51,Google,63.71428571
Greater London,Grocery & pharmacy,14/07/2020,-17,83,Google,69
Greater London,Retail & recreation,15/07/2020,-48,52,Google,64.71428571
Greater London,Grocery & pharmacy,15/07/2020,-19,81,Google,69.28571429
Greater London,Retail & recreation,16/07/2020,-46,54,Google,65.57142857
Greater London,Grocery & pharmacy,16/07/2020,-16,84,Google,70
Greater London,Retail & recreation,17/07/2020,-46,54,Google,65.57142857
Greater London,Grocery & pharmacy,17/07/2020,-14,86,Google,70.57142857
Greater London,Retail & recreation,18/07/2020,-50,50,Google,65.85714286
Greater London,Grocery & pharmacy,18/07/2020,-19,81,Google,70
Greater London,Retail & recreation,19/07/2020,-49,51,Google,65.71428571
Greater London,Grocery & pharmacy,19/07/2020,-25,75,Google,68.71428571
Greater London,Retail & recreation,20/07/2020,-40,60,Google,65.28571429
Greater London,Grocery & pharmacy,20/07/2020,-14,86,Google,69.85714286
Greater London,Retail & recreation,21/07/2020,-44,56,Google,65.57142857
Greater London,Grocery & pharmacy,21/07/2020,-17,83,Google,70.28571429
Greater London,Retail & recreation,22/07/2020,-45,55,Google,66.57142857
Greater London,Grocery & pharmacy,22/07/2020,-18,82,Google,71
Greater London,Retail & recreation,23/07/2020,-45,55,Google,68.14285714
Greater London,Grocery & pharmacy,23/07/2020,-17,83,Google,71.42857143
Greater London,Retail & recreation,24/07/2020,-47,53,Google,66.71428571
Greater London,Grocery & pharmacy,24/07/2020,-18,82,Google,70.42857143
Greater London,Retail & recreation,25/07/2020,-52,48,Google,65.42857143
Greater London,Grocery & pharmacy,25/07/2020,-25,75,Google,68.28571429
Greater London,Retail & recreation,26/07/2020,-46,54,Google,64.28571429
Greater London,Grocery & pharmacy,26/07/2020,-24,76,Google,67.28571429
Greater London,Retail & recreation,27/07/2020,-44,56,Google,63.42857143
Greater London,Grocery & pharmacy,27/07/2020,-19,81,Google,67.42857143
Greater London,Retail & recreation,28/07/2020,-43,57,Google,63.85714286
Greater London,Grocery & pharmacy,28/07/2020,-17,83,Google,68.85714286
Greater London,Retail & recreation,29/07/2020,-42,58,Google,66.42857143
Greater London,Grocery & pharmacy,29/07/2020,-16,84,Google,70.71428571
Greater London,Retail & recreation,30/07/2020,-41,59,Google,68.28571429
Greater London,Grocery & pharmacy,30/07/2020,-13,87,Google,72.71428571
Greater London,Retail & recreation,31/07/2020,-46,54,Google,68.85714286
Greater London,Grocery & pharmacy,31/07/2020,-18,82,Google,72.42857143
Greater London,Retail & recreation,01/08/2020,-49,51,Google,67.85714286
Greater London,Grocery & pharmacy,01/08/2020,-21,79,Google,70.85714286
Greater London,Retail & recreation,02/08/2020,-44,56,Google,66.85714286
Greater London,Grocery & pharmacy,02/08/2020,-23,77,Google,69.42857143
Greater London,Retail & recreation,03/08/2020,-35,65,Google,66.28571429
Greater London,Grocery & pharmacy,03/08/2020,-17,83,Google,70.42857143
Greater London,Retail & recreation,04/08/2020,-36,64,Google,67.85714286
Greater London,Grocery & pharmacy,04/08/2020,-19,81,Google,72.14285714
Greater London,Retail & recreation,05/08/2020,-36,64,Google,70
Greater London,Grocery & pharmacy,05/08/2020,-20,80,Google,73.42857143
Greater London,Retail & recreation,06/08/2020,-42,58,Google,70.71428571
Greater London,Grocery & pharmacy,06/08/2020,-17,83,Google,73.28571429
Greater London,Retail & recreation,07/08/2020,-46,54,Google,69.14285714
Greater London,Grocery & pharmacy,07/08/2020,-18,82,Google,71.71428571
Greater London,Retail & recreation,08/08/2020,-49,51,Google,67.42857143
Greater London,Grocery & pharmacy,08/08/2020,-22,78,Google,69.42857143
Greater London,Retail & recreation,09/08/2020,-45,55,Google,65.85714286
Greater London,Grocery & pharmacy,09/08/2020,-23,77,Google,68.57142857
Greater London,Retail & recreation,10/08/2020,-32,68,Google,66.42857143
Greater London,Grocery & pharmacy,10/08/2020,-16,84,Google,70.71428571
Greater London,Retail & recreation,11/08/2020,-35,65,Google,68.28571429
Greater London,Grocery & pharmacy,11/08/2020,-19,81,Google,72.57142857
Greater London,Retail & recreation,12/08/2020,-36,64,Google,70.57142857
Greater London,Grocery & pharmacy,12/08/2020,-19,81,Google,74.28571429
Greater London,Retail & recreation,13/08/2020,-43,57,Google,71.42857143
Greater London,Grocery & pharmacy,13/08/2020,-20,80,Google,73.14285714
Greater London,Retail & recreation,14/08/2020,-45,55,Google,69
Greater London,Grocery & pharmacy,14/08/2020,-21,79,Google,71
Greater London,Retail & recreation,15/08/2020,-48,52,Google,66.85714286
Greater London,Grocery & pharmacy,15/08/2020,-25,75,Google,68.42857143
Greater London,Retail & recreation,16/08/2020,-44,56,Google,64.85714286
Greater London,Grocery & pharmacy,16/08/2020,-26,74,Google,67.28571429
Greater London,Retail & recreation,17/08/2020,-30,70,Google,65.85714286
Greater London,Grocery & pharmacy,17/08/2020,-22,78,Google,69.14285714
Greater London,Retail & recreation,18/08/2020,-31,69,Google,67.71428571
Greater London,Grocery & pharmacy,18/08/2020,-21,79,Google,71.57142857
Greater London,Retail & recreation,19/08/2020,-38,62,Google,69.71428571
Greater London,Grocery & pharmacy,19/08/2020,-29,71,Google,71.85714286
Greater London,Retail & recreation,20/08/2020,-38,62,Google,70.14285714
Greater London,Grocery & pharmacy,20/08/2020,-16,84,Google,72.14285714
Greater London,Retail & recreation,21/08/2020,-43,57,Google,69.14285714
Greater London,Grocery & pharmacy,21/08/2020,-20,80,Google,70.71428571
Greater London,Retail & recreation,22/08/2020,-45,55,Google,67.28571429
Greater London,Grocery & pharmacy,22/08/2020,-22,78,Google,69.57142857
Greater London,Retail & recreation,23/08/2020,-41,59,Google,67.85714286
Greater London,Grocery & pharmacy,23/08/2020,-25,75,Google,69.71428571
Greater London,Retail & recreation,24/08/2020,-26,74,Google,68.28571429
Greater London,Grocery & pharmacy,24/08/2020,-21,79,Google,71.42857143
Greater London,Retail & recreation,25/08/2020,-31,69,Google,69.85714286
Greater London,Grocery & pharmacy,25/08/2020,-23,77,Google,73
Greater London,Retail & recreation,26/08/2020,-25,75,Google,72.57142857
Greater London,Grocery & pharmacy,26/08/2020,-19,81,Google,75.71428571
Greater London,Retail & recreation,27/08/2020,-40,60,Google,73.57142857
Greater London,Grocery & pharmacy,27/08/2020,-23,77,Google,74
Greater London,Retail & recreation,28/08/2020,-39,61,Google,71.42857143
Greater London,Grocery & pharmacy,28/08/2020,-17,83,Google,73.42857143
Greater London,Retail & recreation,29/08/2020,-43,57,Google,70.57142857
Greater London,Grocery & pharmacy,29/08/2020,-23,77,Google,70.85714286
Greater London,Retail & recreation,30/08/2020,-35,65,Google,68.57142857
Greater London,Grocery & pharmacy,30/08/2020,-23,77,Google,71
Greater London,Retail & recreation,31/08/2020,-18,82,Google,71.71428571
Greater London,Grocery & pharmacy,31/08/2020,-24,76,Google,73.85714286
Greater London,Retail & recreation,01/09/2020,-34,66,Google,71.42857143
Greater London,Grocery & pharmacy,01/09/2020,,85,Google,75.42857143
Greater London,Retail & recreation,02/09/2020,-37,63,Google,73.42857143
Greater London,Grocery & pharmacy,02/09/2020,-18,82,Google,75.85714286
Greater London,Retail & recreation,03/09/2020,-38,62,Google,73.71428571
Greater London,Grocery & pharmacy,03/09/2020,-18,82,Google,73.71428571
Greater London,Retail & recreation,04/09/2020,-38,62,Google,71.71428571
Greater London,Grocery & pharmacy,04/09/2020,-16,84,Google,
Greater London,Retail & recreation,05/09/2020,-38,62,Google,71
Greater London,Grocery & pharmacy,05/09/2020,-18,82,Google,73.71428571
Greater London,Retail & recreation,06/09/2020,-34,66,Google,71.42857143
Greater London,Grocery & pharmacy,06/09/2020,-18,82,Google,74.28571429
Greater London,Retail & recreation,07/09/2020,-32,68,Google,72.28571429
Greater London,Grocery & pharmacy,07/09/2020,-14,86,Google,75.71428571
Greater London,Retail & recreation,08/09/2020,-35,65,Google,73
Greater London,Grocery & pharmacy,08/09/2020,-15,85,Google,76.28571429
Greater London,Retail & recreation,09/09/2020,-37,63,Google,73.57142857
Greater London,Grocery & pharmacy,09/09/2020,-16,84,Google,76.14285714
Greater London,Retail & recreation,10/09/2020,-35,65,Google,73.71428571
Greater London,Grocery & pharmacy,10/09/2020,-14,86,Google,76.28571429
Greater London,Retail & recreation,11/09/2020,-36,64,Google,73.14285714
Greater London,Grocery & pharmacy,11/09/2020,-14,86,Google,76.14285714
Greater London,Retail & recreation,12/09/2020,-38,62,Google,72.85714286
Greater London,Grocery & pharmacy,12/09/2020,-17,83,Google,75.71428571
Greater London,Retail & recreation,13/09/2020,-34,66,Google,73.14285714
Greater London,Grocery & pharmacy,13/09/2020,-17,83,Google,75.71428571
